,verb,stemlem,pos1,my_subj,my_valence,strength
0,abandon,abandon,verb,1,-1.0,0.0
1,abate,abat,verb,1,-1.0,0.0
2,abhor,abhor,anypos,2,-1.0,0.0
3,abhor,abhor,anypos,2,-1.0,0.0
4,abhor,abhor,verb,2,-1.0,0.0
5,abide,abid,anypos,2,1.0,1.0
6,abolish,abolish,verb,1,-1.0,0.0
7,abominate,abomin,verb,2,-1.0,0.0
8,abound,abound,verb,1,1.0,0.0
9,absentee,absente,anypos,1,-1.0,0.0
10,absolve,absolv,verb,2,1.0,0.0
11,absorbed,absorb,verb,1,0.0,0.0
12,abuse,abus,verb,2,-1.0,0.0
13,accede,acced,verb,2,1.0,0.0
14,accentuate,accentu,verb,2,0.0,0.0
15,accept,accept,verb,1,1.0,0.0
16,acclaim,acclaim,verb,2,1.0,1.0
17,accomplish,accomplish,verb,1,1.0,1.0
18,accord,accord,verb,1,0.0,0.0
19,accuse,accus,verb,2,-1.0,0.0
20,accusing,accus,anypos,2,-1.0,0.0
21,ache,ach,verb,2,-1.0,0.0
22,achieve,achiev,verb,1,1.0,1.0
23,achievement,achiev,anypos,1,1.0,1.0
24,acknowledge,acknowledg,verb,1,-1.0,0.0
25,acquit,acquit,verb,1,1.0,0.0
26,actual,actual,anypos,2,0.0,1.0
27,actuality,actual,anypos,2,0.0,0.0
28,admirable,admir,anypos,2,1.0,1.0
29,admire,admir,verb,2,1.0,1.0
30,admit,admit,verb,2,-1.0,0.0
31,adore,ador,verb,2,1.0,0.0
32,adrift,adrift,anypos,1,-1.0,0.0
33,adulterated,adulter,anypos,2,-1.0,0.0
34,advocate,advoc,verb,2,1.0,1.0
35,affect,affect,verb,1,0.0,0.0
36,affirm,affirm,verb,2,1.0,1.0
37,afflict,afflict,verb,1,-1.0,0.0
38,afford,afford,verb,1,1.0,0.0
39,affront,affront,verb,2,-1.0,0.0
40,aggravate,aggrav,verb,2,-1.0,0.0
41,aggressive,aggress,anypos,2,-1.0,0.0
42,agitate,agit,verb,2,-1.0,0.0
43,agonizing,agon,anypos,2,-1.0,0.0
44,agree,agre,verb,2,1.0,0.0
45,agreeable,agreeabl,anypos,2,1.0,0.0
46,ail,ail,verb,1,-1.0,0.0
47,air,air,verb,2,0.0,0.0
48,alarm,alarm,verb,1,-1.0,0.0
49,alas,ala,anypos,2,-1.0,0.0
50,alienate,alien,verb,1,-1.0,0.0
51,allay,allay,verb,2,1.0,0.0
52,allegation,alleg,anypos,2,-1.0,0.0
53,allege,alleg,verb,1,-1.0,0.0
54,alleviate,allevi,verb,1,1.0,0.0
55,alliance,allianc,anypos,2,0.0,1.0
56,allow,allow,verb,1,1.0,0.0
57,allure,allur,verb,2,1.0,0.0
58,alluring,allur,anypos,2,1.0,1.0
59,altogether,altogeth,anypos,2,0.0,0.0
60,amaze,amaz,verb,2,1.0,1.0
61,amazing,amaz,anypos,2,1.0,1.0
62,amazingly,amaz,anypos,2,1.0,1.0
63,ambush,ambush,verb,1,-1.0,0.0
