uniq_idx,error,fold,sentence,bias,lex_bias
53hpo10,tn,0.0,"He joins an already crowded 2016 Republican field, and will likely enlist support from the party's far right wing, where he faces competition from Sen. Ted Cruz (R-Texas), who has positioned himself as a tea party favorite.",0,1
53hpo15,fn,0.0,"He was the longest-serving Arkansas governor, from 1996 to 2007.",1,0
53hpo23,tn,,"He wrote in his memoir, ""From Hope to Higher Ground,"" that his work as a pastor helps him understand how politics and policy affect people.",0,0
52hpo12,tn,0.0,Some top Democrats called on Mueller to release what his team knows about Trump’s Moscow deal as a matter of public duty.,0,0
52hpo15,tn,0.0,"“We’ve previously known about attempts to develop Trump Tower Moscow and the misrepresentations surrounding those efforts,” Feinstein said.",0,0
52hpo17,tn,,"“If true, the president committed a crime and must be held accountable.”",0,0
2hpo0,tn,,President Donald Trump on Friday declared a national emergency at the southern U.S. border in an effort to unilaterally seize funding to begin building his long-promised wall between the U.S. and Mexico.,0,1
3hpo1,fn,,"It wasn't quite the metaphorical flare of mushroom cloud imagery, but outgoing senior economic adviser Larry Summers offered a fairly dire assessment of the stakes in the tax cut debate.",1,0
3hpo6,tn,0.0,"Summers himself, downplayed the significance of continuing the Bush tax cuts back in September -- though he was speaking, then, about the rates for the rich and the tax cut deal, at that point in time, did not include money for a 13-month extension of unemployment insurance or other tax incentives to help lower income workers.",0,0
3hpo8,tn,,"""The wait would not cause a double dip,"" he said.",0,0
3hpo28,fn,,"Added Gibbs: ""I think you would really have to ask somebody who says... lets have some eight week fight and on February the 15th come in and say, alright, now we are ready to make a compromise, who on earth, who on earth thinks that that is somehow going to be a fundamentally better agreement than the one we are looking at right now?",1,0
66nyt0,tn,,"WASHINGTON — All same-sex couples who are legally married will be recognized as such for federal tax purposes, even if the state where they live does not recognize their union, the Treasury Department and the Internal Revenue Service said Thursday.",0,0
66nyt1,tn,0.0,"It is the broadest federal rule change to come out of the landmark Supreme Court decision in June that struck down the 1996 Defense of Marriage Act, and a sign of how quickly the government is moving to treat gay couples in the same way that it does straight couples.",0,0
66nyt2,tn,0.0,"The June decision found that same-sex couples were entitled to federal benefits, but left open the question of how Washington would actually administer them.",0,0
66nyt7,tn,0.0,"“Today’s ruling provides certainty and clear, coherent tax-filing guidance for all legally married same-sex couples nationwide,” Treasury Secretary Jacob J. Lew said.",0,0
66nyt13,fp,0.0,"Couples with similar incomes often pay the “marriage penalty,” with their tax liability as a couple being much higher than it would be if they were single.",0,0
66nyt23,tn,0.0,"“These state taxing authorities will have to figure out how to deal with a same-sex married couple who file a joint income tax return for federal tax purposes.” He added,",0,0
66nyt25,tn,0.0,"The rule change is likely to provide a small increase for federal revenue, as more same-sex couples pay the marriage penalty, Mr. Williams said, describing it as a “rounding error.”",0,0
66nyt26,tn,,But it would be partly offset by new federal spending on benefits for same-sex spouses.,0,0
66nyt31,tn,,But federal agencies are not moving in lock step.,0,0
66nyt35,tn,,"But the Social Security Administration is now using a “place of residence” standard in determining spousal benefits, and a gay couple in Alabama might not receive the same benefits as a gay couple in New York until final determinations are made or Congress acts.",0,0
88hpo2,tn,,"""Senate Bill 1062 does not address a specific or present concern related to religious liberty in Arizona,"" she said.",0,0
67nyt0,tn,0.0,"WASHINGTON — AARP, the powerful lobby for older Americans that has been seen as one of the leading opponents of Social Security benefit cuts, said on Friday that it was open to modest reductions in benefits for future recipients.",0,1
67nyt19,tn,0.0,Mr. Rother said AARP expected to hear criticism from some of its members over its position on possible cuts.,0,0
89hpo17,tp,,"""I abhor discrimination.",1,0
89hpo25,tn,,"“We hope to have a fix very soon.""",0,0
