uniq_idx,error,fold,sentence,bias,lex_bias
53hpo10,tn,0.0,"He joins an already crowded 2016 Republican field, and will likely enlist support from the party's far right wing, where he faces competition from Sen. Ted Cruz (R-Texas), who has positioned himself as a tea party favorite.",0,1
53hpo15,fn,0.0,"He was the longest-serving Arkansas governor, from 1996 to 2007.",1,0
52hpo12,tn,0.0,Some top Democrats called on Mueller to release what his team knows about Trump’s Moscow deal as a matter of public duty.,0,0
52hpo15,tn,0.0,"“We’ve previously known about attempts to develop Trump Tower Moscow and the misrepresentations surrounding those efforts,” Feinstein said.",0,0
3hpo6,tn,0.0,"Summers himself, downplayed the significance of continuing the Bush tax cuts back in September -- though he was speaking, then, about the rates for the rich and the tax cut deal, at that point in time, did not include money for a 13-month extension of unemployment insurance or other tax incentives to help lower income workers.",0,0
66nyt1,tn,0.0,"It is the broadest federal rule change to come out of the landmark Supreme Court decision in June that struck down the 1996 Defense of Marriage Act, and a sign of how quickly the government is moving to treat gay couples in the same way that it does straight couples.",0,0
66nyt2,tn,0.0,"The June decision found that same-sex couples were entitled to federal benefits, but left open the question of how Washington would actually administer them.",0,0
66nyt7,tn,0.0,"“Today’s ruling provides certainty and clear, coherent tax-filing guidance for all legally married same-sex couples nationwide,” Treasury Secretary Jacob J. Lew said.",0,0
66nyt13,fp,0.0,"Couples with similar incomes often pay the “marriage penalty,” with their tax liability as a couple being much higher than it would be if they were single.",0,0
66nyt23,tn,0.0,"“These state taxing authorities will have to figure out how to deal with a same-sex married couple who file a joint income tax return for federal tax purposes.” He added,",0,0
66nyt25,tn,0.0,"The rule change is likely to provide a small increase for federal revenue, as more same-sex couples pay the marriage penalty, Mr. Williams said, describing it as a “rounding error.”",0,0
67nyt0,tn,0.0,"WASHINGTON — AARP, the powerful lobby for older Americans that has been seen as one of the leading opponents of Social Security benefit cuts, said on Friday that it was open to modest reductions in benefits for future recipients.",0,1
67nyt19,tn,0.0,Mr. Rother said AARP expected to hear criticism from some of its members over its position on possible cuts.,0,0
62fox37,tn,0.0,"""In addition we only ever comply with orders for requests about specific accounts or identifiers,"" the spokesperson said.",0,0
63fox12,tn,0.0,"“And when your son looks at you and says: ‘Momma, look you won. Bullies don’t win.’ ",0,0
83nyt2,tn,0.0,“President Obama and the Democrats have had their chance and they have failed.,0,0
83nyt19,tn,0.0,"For his part, Mr. Boehner has remained firm that he wanted to get it done quickly and minimize disruption.",0,0
83nyt22,fn,0.0,Some lawmakers questioned whether his run was really a quest to win the majority leader’s post or merely to raise his own profile.,1,0
82nyt8,tn,0.0,"“I’ve been by Mike’s side for 19 years, and I’ve never met Donald Trump,” said Kevin Sheekey, an adviser to Mr. Bloomberg, underscoring the extent to which the men were not close.",0,0
82nyt14,fn,0.0,"“How about the mayor starts it off in honor of the city?” Mr. Trump was quoted as saying, playing peacemaker and showing deference to Mr. Bloomberg.",1,0
86fox3,tn,0.0,"He will be great!""",0,0
86fox24,tp,0.0,"""If anybody but your favorite President, Donald J. Trump, announced that, after decimating ISIS in Syria, we were going to bring our troops back home (happy & healthy), that person would be the most popular hero in America,"" he continued in a follow-up tweet. ",1,0
10nyt12,tn,0.0,He added: “I think it is important that we send a message to people at home that the constitution is an important document.”,0,0
10nyt17,tn,0.0,"According to the Office of the Historian of the House of Representatives, the only two prior instances in which a full or partial text of the Constitution was inserted into the Congressional Record was in 1882, when Roswell Flower of New York “appended” a text of the Constitution — minus the amendments — into the record, and in 1915, when Thomas Reilly of Connecticut inserted the full text of the Constitution into the Congressional Record as an extension of his remarks.",0,0
